state_of_health,state_of_charge,cycle_count,current_amps,temperature_cell,charge_rate_kw,is_charging,internal_resistance,action_voltage,action_current,dT_dt,dV_dt,thermal_stress_index,aging_indicator,charging_efficiency,charging_time,cycle_degradation,balancing_time
96.09,60.34,100,35.03,25.35,144.76,1,0.0302,349.69,62.16,0.447,0.0036,0.413,0.029,0.978,160.66,0.025,10.78
93.63,71.46,690,205.99,25.13,115.66,0,0.0171,383.82,61.54,0.89,0.0222,0.588,0.197,0.856,99.08,0.1725,0.95
84.04,63.31,1306,217.89,42.99,89.81,0,0.0302,336.26,211.04,-0.011,0.0307,0.401,0.373,0.975,40.48,0.3265,17.32
92.69,45.49,266,57.87,39.05,47.69,0,0.0345,309.14,187.01,1.301,-0.0092,0.881,0.076,0.979,25.25,0.0665,25.9
73.11,77.81,2495,23.88,32.71,90.93,0,0.0477,321.08,230.13,0.82,0.0309,0.63,0.713,0.871,59.11,0.6238,5.85
88.06,53.32,1333,220.25,43.59,132.97,1,0.0068,412.93,173.18,-0.159,0.0488,0.466,0.381,0.888,59.84,0.3332,27.19
84.21,52.22,1351,77.78,41.1,121.46,1,0.0306,312.55,39.28,0.575,-0.0219,0.609,0.386,0.988,130.24,0.3377,17.71
70.73,56.92,2909,217.0,40.38,29.89,1,0.0355,423.65,194.95,0.429,0.0383,0.544,0.831,0.907,60.03,0.7273,23.43
89.36,79.18,802,156.46,22.49,29.17,1,0.0349,411.87,163.55,1.195,0.0476,0.686,0.229,0.919,141.38,0.2005,8.36
82.52,57.51,290,34.73,61.4,121.9,0,0.0483,384.49,105.03,0.901,0.0462,0.927,0.083,0.806,125.45,0.0725,13.96
91.04,91.34,879,212.0,32.5,40.5,0,0.0244,311.26,57.21,-0.271,0.0368,0.408,0.251,0.985,149.71,0.2198,6.8
95.29,76.06,740,25.03,33.24,13.85,1,0.0065,312.38,59.15,-0.12,0.0211,0.355,0.211,0.837,67.34,0.185,20.6
70.4,95.08,2191,20.0,60.8,96.76,1,0.034,390.79,201.78,1.493,0.0479,1.158,0.626,0.823,36.92,0.5477,6.93
79.97,93.17,1497,9.13,60.71,47.09,1,0.0161,383.63,87.95,0.341,-0.0481,0.697,0.428,0.958,71.3,0.3743,28.88
90.81,37.3,1264,239.04,33.34,3.16,1,0.0078,326.91,69.17,0.773,0.0111,0.617,0.361,0.827,142.82,0.316,3.17
71.2,28.4,3172,235.35,28.91,65.9,0,0.0297,357.94,104.53,1.328,0.0026,0.798,0.906,0.838,159.53,0.793,10.64
78.56,85.12,1511,176.41,59.58,105.19,1,0.0233,408.56,46.18,0.843,0.0345,0.887,0.432,0.894,42.16,0.3778,17.3
73.81,42.41,3265,54.82,32.8,13.5,0,0.0131,429.5,52.51,1.093,0.0474,0.74,0.933,0.851,49.99,0.8163,9.83
66.18,89.71,3112,65.1,61.88,125.15,1,0.018,347.28,77.79,0.201,0.0111,0.652,0.889,0.913,84.62,0.778,16.15
94.74,73.94,115,245.77,50.45,136.66,1,0.0113,328.21,134.08,0.078,0.0185,0.497,0.033,0.853,178.75,0.0288,9.12
91.27,25.81,432,144.96,34.76,132.63,0,0.0399,332.93,90.82,0.07,0.0269,0.349,0.123,0.903,35.86,0.108,9.8
79.57,72.84,2048,186.06,45.96,39.28,0,0.018,347.09,203.01,1.093,-0.0333,0.861,0.585,0.948,161.74,0.512,24.59
78.1,18.28,2421,53.57,46.4,55.23,1,0.0076,360.74,140.27,-0.282,-0.0249,0.541,0.692,0.803,106.57,0.6053,1.52
67.89,16.47,2179,73.7,64.12,59.01,1,0.043,316.91,132.33,0.376,-0.0374,0.742,0.623,0.887,163.09,0.5447,17.32
84.32,39.28,2136,105.53,22.83,66.07,1,0.0051,332.13,42.65,1.196,-0.0081,0.689,0.61,0.809,98.25,0.534,29.37
92.16,89.14,1071,191.92,35.91,143.15,1,0.0082,306.41,146.4,1.172,-0.0346,0.8,0.306,0.88,17.06,0.2677,10.0
64.63,84.72,3242,157.61,62.72,135.02,1,0.0196,317.59,142.9,1.051,0.0154,0.999,0.926,0.933,50.01,0.8105,12.03
86.58,99.09,1170,81.86,30.12,69.16,1,0.033,418.33,49.38,0.689,0.0289,0.554,0.334,0.845,152.93,0.2925,9.2
63.78,99.66,2836,162.96,58.72,21.75,1,0.0466,374.69,19.15,0.437,0.0424,0.717,0.81,0.968,35.92,0.709,5.92
83.88,24.57,1276,19.69,26.7,46.17,1,0.0427,418.48,60.7,1.41,0.0346,0.81,0.365,0.876,167.32,0.319,9.85
74.47,80.07,2607,87.6,33.21,115.3,1,0.0368,407.75,70.57,0.958,0.0375,0.69,0.745,0.896,110.01,0.6518,25.23
78.58,20.12,2355,126.36,37.45,69.79,0,0.0233,369.87,198.05,0.391,0.0481,0.502,0.673,0.94,134.2,0.5887,7.91
90.95,23.87,644,178.97,25.5,68.23,0,0.0333,324.06,205.61,0.842,0.0072,0.572,0.184,0.922,165.81,0.161,19.83
69.78,88.67,2024,104.02,59.26,124.31,1,0.0466,355.49,244.9,-0.362,-0.0239,0.692,0.578,0.858,36.14,0.506,11.09
76.49,30.78,2222,142.0,22.56,117.81,0,0.0408,340.78,68.6,0.737,-0.0306,0.503,0.635,0.807,31.57,0.5555,5.44
74.62,41.77,2151,51.71,46.2,70.27,1,0.0365,338.09,143.5,0.097,-0.0113,0.465,0.615,0.829,28.74,0.5378,11.53
87.24,22.05,1513,249.72,39.35,9.6,1,0.0106,385.69,43.3,1.334,0.0,0.897,0.432,0.924,114.99,0.3783,0.42
84.8,18.17,1343,180.18,30.25,123.23,1,0.0354,367.3,100.51,0.726,-0.0243,0.57,0.384,0.876,68.68,0.3357,12.06
87.58,17.06,551,196.55,44.43,96.09,0,0.0404,430.32,178.46,0.006,0.0333,0.413,0.157,0.965,53.01,0.1378,6.93
81.8,31.29,2078,143.93,30.11,65.52,1,0.0221,354.28,174.94,0.38,-0.0247,0.43,0.594,0.947,140.93,0.5195,29.51
78.88,71.06,2607,84.21,26.27,19.09,0,0.0148,446.1,137.63,1.342,-0.0454,0.779,0.745,0.899,116.2,0.6518,26.81
75.09,89.62,2505,246.26,46.2,132.3,1,0.0201,426.55,15.86,-0.172,-0.0187,0.495,0.716,0.838,90.61,0.6262,27.94
77.22,36.98,2606,240.57,26.46,116.16,1,0.0221,439.94,208.08,0.26,-0.0138,0.348,0.745,0.831,39.54,0.6515,4.65
82.72,77.83,1393,104.54,59.29,75.6,0,0.0082,373.73,164.15,0.693,-0.0469,0.824,0.398,0.93,163.29,0.3483,24.24
71.47,49.83,2791,26.01,28.81,130.38,0,0.0443,407.7,55.54,0.951,0.0281,0.646,0.797,0.886,16.96,0.6977,21.49
67.98,83.63,3321,27.86,34.18,109.29,0,0.0393,376.25,199.1,0.84,0.034,0.652,0.949,0.804,138.81,0.8303,27.94
61.28,56.4,3178,63.25,64.69,122.44,1,0.0342,327.51,207.69,1.444,0.0307,1.175,0.908,0.816,173.49,0.7945,0.05
87.14,58.49,1150,66.89,39.95,75.87,0,0.0234,439.14,236.58,0.082,0.0493,0.402,0.329,0.835,99.11,0.2875,20.17
97.58,28.99,48,109.23,29.4,36.32,1,0.0245,414.55,104.66,0.202,0.0177,0.352,0.014,0.955,139.51,0.012,15.34
69.89,23.83,2442,180.59,47.13,114.12,1,0.0494,406.59,131.34,0.081,-0.025,0.467,0.698,0.981,137.86,0.6105,3.08
64.89,12.35,3343,193.64,55.25,115.07,1,0.0244,413.93,228.29,-0.183,0.0145,0.583,0.955,0.863,90.79,0.8357,21.27
81.48,53.34,1779,119.23,44.09,142.56,1,0.0201,445.17,66.92,0.972,-0.0334,0.796,0.508,0.82,58.96,0.4448,20.01
82.01,96.62,1559,194.79,49.14,55.45,1,0.0205,448.06,222.96,0.779,-0.0086,0.765,0.445,0.94,141.67,0.3897,1.97
92.64,16.09,910,70.32,21.69,5.57,1,0.0139,328.55,223.86,1.33,-0.0335,0.732,0.26,0.901,119.98,0.2275,13.88
69.83,40.77,2887,130.33,24.91,106.53,0,0.0491,366.86,241.26,-0.296,-0.0467,0.348,0.825,0.915,117.33,0.7218,18.71
91.67,40.91,1085,135.08,29.03,19.31,0,0.0126,305.79,33.02,1.133,-0.0234,0.721,0.31,0.957,158.73,0.2712,13.48
89.13,35.86,688,104.45,53.65,6.58,0,0.0114,305.36,242.91,-0.132,-0.0426,0.548,0.197,0.835,52.99,0.172,25.11
98.22,43.25,297,87.11,23.96,4.72,0,0.01,321.46,36.41,1.122,0.0484,0.67,0.085,0.864,175.47,0.0742,14.3
69.28,87.56,3027,139.24,39.16,25.26,0,0.0395,334.64,219.47,0.982,-0.0006,0.754,0.865,0.882,176.77,0.7568,17.54
79.67,63.47,1872,114.37,55.74,65.89,0,0.0105,373.12,73.01,0.405,-0.0338,0.677,0.535,0.99,23.81,0.468,23.29
74.98,21.41,2863,90.07,27.32,34.3,1,0.0253,332.18,198.6,0.674,-0.0481,0.522,0.818,0.983,36.38,0.7157,17.54
85.84,69.64,1203,38.26,53.22,4.65,1,0.0098,420.64,77.95,0.992,-0.0152,0.888,0.344,0.962,118.86,0.3008,22.18
91.4,17.09,772,68.36,37.49,136.25,0,0.021,336.38,138.29,0.93,-0.0486,0.718,0.221,0.84,22.02,0.193,10.72
81.76,19.23,1971,73.64,48.69,93.51,1,0.0061,423.87,76.28,0.778,-0.0417,0.761,0.563,0.951,41.2,0.4928,8.7
81.97,61.38,1548,94.01,54.2,57.15,1,0.0137,323.16,114.52,1.373,-0.0075,1.05,0.442,0.953,95.69,0.387,8.46
78.95,85.89,2153,72.55,34.16,31.21,0,0.0325,391.15,191.34,0.928,-0.0301,0.687,0.615,0.893,39.17,0.5383,23.94
74.78,71.21,2942,106.67,36.19,118.52,0,0.0193,333.99,98.93,0.264,-0.0384,0.44,0.841,0.845,56.13,0.7355,4.93
69.41,61.17,2627,201.64,44.86,65.39,0,0.0462,352.56,121.62,0.716,-0.0476,0.7,0.751,0.876,132.18,0.6568,23.32
78.77,65.43,2298,115.68,32.5,147.27,0,0.027,369.95,174.75,1.231,0.0398,0.792,0.657,0.853,125.28,0.5745,6.83
75.09,27.82,2292,58.1,32.13,87.41,0,0.0475,386.32,171.31,0.543,0.0164,0.514,0.655,0.974,161.27,0.573,8.92
78.59,16.05,1950,210.02,40.25,72.9,1,0.0334,423.32,102.71,0.467,0.0352,0.558,0.557,0.814,70.19,0.4875,7.51
86.36,25.37,927,86.71,36.17,88.15,0,0.043,324.49,122.92,0.606,0.0418,0.576,0.265,0.909,94.45,0.2318,9.9
68.57,93.65,3181,86.62,42.76,113.98,0,0.0328,342.2,113.21,0.972,0.0109,0.784,0.909,0.968,45.67,0.7953,12.66
83.45,90.73,442,238.96,60.59,63.4,1,0.0395,411.04,239.41,-0.46,0.0134,0.743,0.126,0.855,151.34,0.1105,26.11
60.67,19.48,3152,90.83,61.28,87.59,0,0.044,326.02,206.74,0.919,0.0476,0.933,0.901,0.857,37.61,0.788,11.83
65.2,54.2,3173,124.18,59.3,94.91,0,0.0237,345.57,159.49,1.055,-0.0218,0.969,0.907,0.871,135.19,0.7933,23.37
68.14,34.61,3444,57.38,46.49,53.07,0,0.0166,354.19,212.96,0.234,0.032,0.523,0.984,0.82,28.86,0.861,8.64
67.93,57.71,3096,18.08,45.88,119.73,0,0.0339,398.58,59.74,0.784,-0.0397,0.737,0.885,0.914,158.62,0.774,12.76
