vehicle_id,timestamp,voltage,current,battery_temperature,ambient_temperature,soc,soh,charge_cycles,charging_status,charging_type,battery_capacity,speed,distance,power,cell_voltage_max,cell_voltage_min,voltage_imbalance,risk_level,fault_code
EV00001,2026-01-01 08:00:00,399.59,24.0,34.63,24.46,74.96,71.9,1405,Idle,None,90,0.0,26755.79,9.59,4.113,4.088,0.025,Medium,NONE
EV00002,2026-01-01 08:01:00,393.28,100.86,25.93,23.98,66.74,77.28,1136,Discharging,None,60,64.92,24240.3,39.67,4.18,4.039,0.141,Medium,NONE
EV00003,2026-01-01 08:02:00,392.39,87.62,34.73,24.31,77.53,95.42,229,Charging,Slow AC,60,0.0,5108.48,34.38,4.102,4.04,0.062,Low,NONE
EV00004,2026-01-01 08:03:00,390.65,93.51,29.37,38.45,12.49,87.6,620,Idle,None,90,0.0,17747.76,36.53,4.104,4.053,0.051,Low,NONE
EV00005,2026-01-01 08:04:00,391.04,125.8,52.06,39.7,86.26,54.47,1794,Charging,Slow AC,75,0.0,42053.02,49.19,4.175,4.129,0.046,High,OVERHEAT
EV00006,2026-01-01 08:05:00,395.33,127.23,49.56,33.67,11.78,65.95,1320,Charging,Fast DC,60,0.0,31082.2,50.3,4.09,3.922,0.168,Medium,NONE
EV00007,2026-01-01 08:06:00,400.32,55.14,36.35,35.37,10.31,65.94,1703,Charging,Slow AC,75,0.0,36125.55,22.07,4.082,3.911,0.171,Medium,NONE
EV00008,2026-01-01 08:07:00,403.15,70.35,47.94,27.91,91.88,74.47,959,Charging,Slow AC,60,0.0,20100.19,28.36,4.134,4.072,0.062,Medium,NONE
EV00009,2026-01-01 08:08:00,398.77,163.65,38.98,24.39,99.77,78.74,1063,Discharging,None,60,95.58,30118.23,65.26,4.073,4.027,0.046,Medium,NONE
EV00010,2026-01-01 08:09:00,400.21,115.43,38.47,31.92,49.46,89.32,534,Idle,None,60,0.0,13971.26,46.2,4.067,3.905,0.162,Low,NONE
EV00011,2026-01-01 08:10:00,401.26,142.98,36.91,25.87,20.02,99.48,26,Idle,None,90,0.0,550.18,57.37,4.125,4.076,0.049,Low,NONE
EV00012,2026-01-01 08:11:00,403.69,159.28,35.45,32.78,62.85,93.34,333,Discharging,None,60,73.94,9105.39,64.3,4.13,4.11,0.02,Low,NONE
EV00013,2026-01-01 08:12:00,394.86,23.12,57.52,37.57,84.01,73.0,649,Charging,Fast DC,60,0.0,18519.94,9.13,4.192,4.158,0.034,High,OVERHEAT
EV00014,2026-01-01 08:13:00,397.29,31.07,51.62,35.32,17.2,70.84,993,Idle,None,60,0.0,21032.41,12.34,4.181,4.093,0.088,High,OVERHEAT
EV00015,2026-01-01 08:14:00,393.18,106.29,50.55,24.02,34.61,63.66,1395,Idle,None,75,0.0,32443.8,41.79,4.128,4.089,0.039,High,OVERHEAT
EV00016,2026-01-01 08:15:00,393.37,74.09,45.59,24.6,25.92,92.23,165,Idle,None,90,0.0,3086.57,29.14,4.06,4.035,0.025,Medium,NONE
EV00017,2026-01-01 08:16:00,394.96,102.26,34.75,29.71,56.23,69.98,1501,Idle,None,90,0.0,35531.75,40.39,4.168,4.019,0.149,Medium,NONE
EV00018,2026-01-01 08:17:00,392.86,35.51,40.09,28.47,49.37,69.67,1513,Charging,Fast DC,60,0.0,34543.99,13.95,4.101,3.943,0.158,Medium,NONE
EV00019,2026-01-01 08:18:00,393.73,50.43,40.7,28.44,31.46,88.82,531,Charging,Slow AC,90,0.0,10181.87,19.86,4.148,4.042,0.106,Medium,NONE
EV00020,2026-01-01 08:19:00,390.22,34.92,51.37,24.73,43.61,70.8,1005,Charging,Slow AC,60,0.0,20075.52,13.63,4.05,3.968,0.082,High,OVERHEAT
EV00021,2026-01-01 08:20:00,403.9,145.62,34.98,33.93,74.4,67.52,1624,Idle,None,90,0.0,43232.34,58.82,4.073,4.006,0.067,Medium,NONE
EV00022,2026-01-01 08:21:00,404.53,112.67,43.98,34.96,10.43,72.5,1216,Discharging,None,90,111.94,29638.19,45.58,4.059,3.958,0.101,Medium,NONE
EV00023,2026-01-01 08:22:00,402.77,30.96,27.38,37.24,43.36,61.04,1948,Idle,None,60,0.0,48596.81,12.47,4.056,4.023,0.033,Medium,NONE
EV00024,2026-01-01 08:23:00,399.86,110.44,36.07,25.22,68.62,86.74,663,Charging,Slow AC,75,0.0,12975.27,44.16,4.147,4.054,0.093,Low,NONE
EV00025,2026-01-01 08:24:00,403.94,169.72,25.33,32.42,58.48,95.52,224,Charging,Fast DC,90,0.0,4744.86,68.56,4.19,4.029,0.161,Low,NONE
EV00026,2026-01-01 08:25:00,403.19,79.12,30.52,36.67,71.84,74.56,1272,Idle,None,90,0.0,23015.41,31.9,4.173,4.105,0.068,Medium,NONE
EV00027,2026-01-01 08:26:00,399.95,170.23,29.7,22.31,15.17,76.94,1153,Charging,Slow AC,75,0.0,29122.43,68.08,4.158,4.105,0.053,Medium,NONE
EV00028,2026-01-01 08:27:00,399.51,62.24,42.1,38.11,85.38,94.14,209,Idle,None,75,0.0,5842.01,24.87,4.057,3.984,0.073,Medium,NONE
EV00029,2026-01-01 08:28:00,391.96,176.77,30.66,28.84,72.04,76.64,1168,Charging,Fast DC,60,0.0,34269.83,69.29,4.154,4.11,0.044,Medium,NONE
EV00030,2026-01-01 08:29:00,390.54,79.07,44.34,28.6,8.97,81.21,766,Charging,Slow AC,60,0.0,20057.56,30.88,4.15,4.073,0.077,Medium,NONE
EV00031,2026-01-01 08:30:00,398.4,159.95,59.08,34.99,92.95,74.66,504,Charging,Fast DC,75,0.0,9221.91,63.72,4.16,4.087,0.073,High,OVERHEAT
EV00032,2026-01-01 08:31:00,403.96,148.36,55.24,36.21,30.35,55.17,1632,Idle,None,60,0.0,36867.7,59.93,4.056,3.961,0.095,High,OVERHEAT
